corridaId;data;local;sentido;extensao;pilotoId;nome;posicao;tempoTotal;numeroVoltas;melhorVolta;polePosition;pontos;presente
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;1;João Silva;18;21:00.588;24;00:51.355;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;2;Pedro Santos;;;;;False;0;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;3;Lucas Oliveira;;;;;False;0;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;4;Mateus Souza;20;20:57.079;24;00:50.865;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;5;Gabriel Pereira;21;21:03.205;24;00:51.288;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;6;Rafael Costa;1;20:47.128;24;00:49.645;True;25;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;7;Thiago Almeida;4;20:47.494;24;00:49.706;False;14;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;8;Bruno Nascimento;2;20:47.984;24;00:50.178;False;20;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;9;Felipe Carvalho;12;20:59.936;24;00:50.476;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;10;André Araújo;25;21:02.186;24;00:51.225;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;11;Ricardo Ribeiro;11;20:56.920;24;00:50.916;False;2;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;12;Marcelo Ferreira;8;20:57.743;24;00:50.737;False;6;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;13;Diego Rodrigues;9;20:53.920;24;00:51.051;False;4;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;14;Leonardo Gomes;27;21:11.715;24;00:51.276;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;15;Caio Martins;24;21:07.702;24;00:51.507;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;16;Vinícius Barbosa;23;21:04.625;24;00:50.831;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;17;Henrique Rocha;17;21:04.283;24;00:50.626;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;18;Gustavo Moraes;6;20:53.828;24;00:50.707;False;10;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;19;Eduardo Pinto;15;20:56.329;24;00:50.054;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;20;Nicolas Cardoso;16;20:57.363;24;00:50.145;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;21;Daniel Lima;26;21:03.829;24;00:51.343;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;22;Fernando Fernandes;7;20:53.920;24;00:50.373;False;8;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;23;Rodrigo Mendes;5;20:49.956;24;00:50.241;False;12;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;24;Paulo Campos;14;20:57.368;24;00:51.074;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;25;Alexandre Correia;10;20:47.618;24;00:50.320;False;3;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;26;Sérgio Machado;;;;;False;0;False
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;27;Márcio Farias;19;21:06.308;24;00:50.592;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;28;Renato Tavares;22;21:01.614;24;00:50.680;False;1;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;29;Douglas Brito;3;20:50.174;24;00:50.915;False;17;True
1;2024-01-06;Kartódromo Internacional de Interlagos;horário;1050.0;30;Wesley Dias;13;21:01.531;24;00:50.884;False;1;True
2;2024-01-21;Kartódromo do Velociraptor;anti-horário;920.0;1;João Silva;15;20:51.618;27;00:44.589;False;1;True
2;2024-01-21;Kartódromo do Velociraptor;anti-horário;920.0;2;Pedro Santos;11;20:48.478;27;00:44.710;False;2;True
